"country_name","country_iso2","week","category","weekly_rank","show_title","season_title","cumulative_weeks_in_top_10"
"South Korea","KR","2021-12-26","Films",1,"Escape From Mogadishu","",2
"South Korea","KR","2021-12-26","Films",2,"Miracle: Letters to the President","",1
"South Korea","KR","2021-12-26","Films",3,"Don't Look Up","",1
"South Korea","KR","2021-12-26","Films",4,"Spider-Man: Far from Home","",2
"South Korea","KR","2021-12-26","Films",5,"Spider-Man: Homecoming","",2
"South Korea","KR","2021-12-26","Films",6,"The Amazing Spider-Man","",2
"South Korea","KR","2021-12-26","Films",7,"Spider-Man","",2
"South Korea","KR","2021-12-26","Films",8,"The Amazing Spider-Man 2","",1
"South Korea","KR","2021-12-26","Films",9,"Spider-Man 2","",1
"South Korea","KR","2021-12-26","Films",10,"Sinkhole","",6
"South Korea","KR","2021-12-26","TV",1,"The Silent Sea","The Silent Sea: Season 1",1
"South Korea","KR","2021-12-26","TV",2,"Our Beloved Summer","Our Beloved Summer: Season 1",3
"South Korea","KR","2021-12-26","TV",3,"Single’s Inferno","Single’s Inferno: Season 1",1
"South Korea","KR","2021-12-26","TV",4,"Bulgasal: Immortal Souls","Bulgasal: Immortal Souls: Season 1",1
"South Korea","KR","2021-12-26","TV",5,"The Hungry and the Hairy","The Hungry and the Hairy: Season 1",3
"South Korea","KR","2021-12-26","TV",6,"The Witcher","The Witcher: Season 2",2
"South Korea","KR","2021-12-26","TV",7,"Emily in Paris","Emily in Paris: Season 2",1
"South Korea","KR","2021-12-26","TV",8,"I am Solo","I am Solo: Part 1 - Part 4",6
"South Korea","KR","2021-12-26","TV",9,"Love After Divorce","Love After Divorce: Season 2",9
"South Korea","KR","2021-12-26","TV",10,"Guardian: The Lonely and Great God","Guardian: The Lonely and Great God: Season 1",7
"South Korea","KR","2021-12-19","Films",1,"Escape From Mogadishu","",1
"South Korea","KR","2021-12-19","Films",2,"The Unforgivable","",2
"South Korea","KR","2021-12-19","Films",3,"Hostage: Missing Celebrity","",3
"South Korea","KR","2021-12-19","Films",4,"Spider-Man: Far from Home","",1
"South Korea","KR","2021-12-19","Films",5,"Sinkhole","",5
"South Korea","KR","2021-12-19","Films",6,"Two","",1
"South Korea","KR","2021-12-19","Films",7,"Spider-Man: Homecoming","",1
"South Korea","KR","2021-12-19","Films",8,"Spider-Man","",1
"South Korea","KR","2021-12-19","Films",9,"Venom","",3
"South Korea","KR","2021-12-19","Films",10,"The Amazing Spider-Man","",1
"South Korea","KR","2021-12-19","TV",1,"The Hungry and the Hairy","The Hungry and the Hairy: Season 1",2
"South Korea","KR","2021-12-19","TV",2,"Our Beloved Summer","Our Beloved Summer: Season 1",2
"South Korea","KR","2021-12-19","TV",3,"The King's Affection","The King's Affection: Season 1",10
"South Korea","KR","2021-12-19","TV",4,"I am Solo","I am Solo: Part 1 - Part 4",5
"South Korea","KR","2021-12-19","TV",5,"Inspector Koo","Inspector Koo: Season 1",7
"South Korea","KR","2021-12-19","TV",6,"The Witcher","The Witcher: Season 2",1
"South Korea","KR","2021-12-19","TV",7,"Love After Divorce","Love After Divorce: Season 2",8
"South Korea","KR","2021-12-19","TV",8,"Hellbound","Hellbound: Season 1",5
"South Korea","KR","2021-12-19","TV",9,"Rain or Shine","Rain or Shine: Season 1",2
"South Korea","KR","2021-12-19","TV",10,"Squid Game","Squid Game: Season 1",14
"South Korea","KR","2021-12-12","Films",1,"Hostage: Missing Celebrity","",2
"South Korea","KR","2021-12-12","Films",2,"The Unforgivable","",1
"South Korea","KR","2021-12-12","Films",3,"More Than Family","",1
"South Korea","KR","2021-12-12","Films",4,"Sinkhole","",4
"South Korea","KR","2021-12-12","Films",5,"Venom","",2
"South Korea","KR","2021-12-12","Films",6,"Red Notice","",5
"South Korea","KR","2021-12-12","Films",7,"Green Snake","",2
"South Korea","KR","2021-12-12","Films",8,"Night in Paradise","",11
"South Korea","KR","2021-12-12","Films",9,"Dark Figure of Crime","",1
"South Korea","KR","2021-12-12","Films",10,"The Power of the Dog","",2
"South Korea","KR","2021-12-12","TV",1,"The King's Affection","The King's Affection: Season 1",9
